34796;82;70;65;67;145
36627;70;77;83;110;75
38554;65;73;67;59;73
40583;65;67;68;63;68
42718;135;68;108;136;68
44966;82;74;70;75;59
47332;65;72;73;71;78
49823;64;85;135;66;73
52445;70;64;82;69;71
55205;134;66;102;84;93
58110;88;80;87;139;69
61168;137;75;62;83;101
64387;79;145;72;63;87
67775;87;135;128;75;75
71342;141;81;71;83;85
75096;124;86;91;74;72
79048;140;68;94;76;144
83208;88;74;96;73;83
87587;71;137;86;79;65
92196;83;133;72;94;92
97048;133;69;84;65;126
102155;77;75;73;85;97
107531;127;72;73;80;78
113190;84;86;140;78;66
119147;80;75;149;144;88
125417;78;73;77;99;84
132017;98;72;100;138;99
138965;103;75;67;110;146
146278;75;85;129;74;82
153976;132;131;75;96;83
162080;80;141;88;89;85
170610;77;72;88;76;86
179589;77;125;74;73;111
189041;70;145;96;150;131
198990;145;79;149;74;83
209463;69;80;153;128;81
220487;143;79;86;155;128
232091;82;145;85;76;81
244306;92;129;91;97;144
257164;79;98;86;165;84
270698;83;76;148;88;86
284945;138;94;100;120;114
299942;135;137;94;98;145
315728;145;81;104;84;149
332345;154;93;113;116;105
349836;149;96;81;91;127
368248;132;99;92;154;98
387629;153;91;86;148;108
408030;99;84;83;137;164
429505;81;78;120;144;140
452110;87;152;122;138;156
475905;87;82;92;93;89
500952;100;103;86;94;144
527317;100;97;86;154;91
555070;113;181;104;90;102
584284;90;96;108;94;91
615035;90;88;98;89;89
647405;106;115;115;81;88
681478;100;150;160;163;83
717345;96;138;160;119;114
755100;79;93;96;103;105
794842;97;89;93;88;168
836675;98;103;162;122;151
880710;83;155;88;99;107
927063;168;157;90;93;90
975855;166;80;99;104;139
1027215;95;98;138;96;95
1081278;97;91;85;96;87
1138187;103;163;87;104;169
1198091;158;99;112;87;105
1261148;156;118;150;108;121
1327524;99;94;95;98;82
1397393;152;97;160;166;100
1470940;88;106;104;101;94
1548357;101;148;113;169;118
1629849;109;120;99;162;108
1715630;104;100;164;151;136
1805926;107;103;165;173;105
1900974;105;115;117;93;150
2001025;161;141;109;99;150
2106342;112;119;95;112;161
2217202;117;119;158;115;114
2333896;107;177;175;126;109
2456732;116;97;111;104;167
2586033;100;131;121;173;115
2722140;126;117;117;114;105
2865410;110;181;124;194;146
3016221;114;111;137;137;99
3174969;112;109;125;138;141
3342072;122;150;147;170;293
3517970;194;180;153;212;151
3703126;252;154;145;255;153
3898027;243;172;268;154;156
4103186;257;158;156;163;160
4319143;204;225;217;170;146
4546466;147;244;149;294;170
4785753;254;232;183;203;161
5037634;147;158;238;178;263
5302772;159;179;186;181;256
5581865;166;147;163;203;159
5875647;233;189;238;159;161
6184891;246;161;189;192;163
6510411;182;167;170;183;168
6853064;171;166;164;297;214
7213751;127;110;129;169;115
7593422;108;141;130;123;111
7993075;126;132;121;124;131
8413763;145;119;196;173;277
8856592;177;180;200;190;175
9322728;210;181;180;176;184
9813397;209;170;204;173;157
