257164;234;128;667;338;501
270698;181;828;848;17;434
284945;784;1621;230;818;171
299942;46;311;977;771;263
315728;583;101;1412;465;82
332345;122;225;779;21;1487
349836;191;247;260;302;113
368248;160;770;129;714;623
387629;289;444;266;216;891
408030;108;1043;1544;762;764
429505;26;61;21;75;391
452110;101;2288;401;244;733
475905;783;43;629;637;400
500952;885;302;5;362;1497
527317;489;706;359;635;125
555070;82;771;1955;731;653
584284;208;2;290;207;1045
615035;2123;182;823;592;1371
647405;396;1137;355;218;114
681478;1167;920;1514;2298;217
717345;406;245;1255;420;2718
755100;527;170;42;89;905
794842;0;756;416;103;1035
836675;370;86;417;4;114
880710;530;116;2320;83;25
927063;937;447;964;511;127
975855;557;1025;565;868;946
1027215;1270;142;1975;87;666
1081278;854;277;731;262;258
1138187;1406;922;84;15;94
1198091;48;185;249;829;544
1261148;1929;154;172;347;246
1327524;46;36;13;149;523
1397393;265;172;86;35;468
1470940;2;193;586;880;429
1548357;67;360;380;83;189
1629849;128;215;682;798;866
1715630;9;38;442;21;91
1805926;72;468;390;300;210
1900974;53;61;493;410;55
2001025;1514;286;8;593;270
2106342;502;10;24;588;730
2217202;191;2666;531;713;62
2333896;278;767;273;429;56
2456732;1240;358;558;394;1139
2586033;104;58;905;691;276
2722140;2271;482;70;83;361
2865410;78;1522;1316;65;934
3016221;3296;1280;1036;444;2653
3174969;2602;1519;858;2303;1389
3342072;1217;3377;700;365;377
3517970;2284;447;931;143;424
3703126;1271;911;1564;1139;285
3898027;3972;1057;128;2152;243
4103186;129;299;751;215;12
4319143;82;4256;238;9;488
4546466;1119;411;129;1195;50
4785753;330;1810;597;864;411
5037634;1421;2454;599;470;406
5302772;297;301;478;776;404
5581865;2241;93;434;114;49
5875647;1151;1072;1081;555;999
6184891;743;1672;1668;2866;554
6510411;1144;1219;700;1330;445
6853064;601;1296;135;221;54
7213751;58;166;948;333;830
7593422;4;2690;381;1983;13
7993075;196;642;1367;2242;185
8413763;2374;488;623;563;974
8856592;332;1338;1082;37;164
9322728;837;792;661;1046;1256
9813397;802;1800;984;745;562
